Date,Store/Product,Value
20180214,LOS_ANGELES-TESLA_MODEL_X,2793
20180215,LOS_ANGELES-TESLA_MODEL_X,3059
20180216,LOS_ANGELES-TESLA_MODEL_X,3040.0076
20180217,LOS_ANGELES-TESLA_MODEL_X,2926
20180218,LOS_ANGELES-TESLA_MODEL_X,2926
20180219,LOS_ANGELES-TESLA_MODEL_X,2660
20180220,LOS_ANGELES-TESLA_MODEL_X,2793
20180221,LOS_ANGELES-TESLA_MODEL_X,2510.7208
20180222,LOS_ANGELES-TESLA_MODEL_X,5105.0587
20180223,LOS_ANGELES-TESLA_MODEL_X,3667.6346
20180224,LOS_ANGELES-TESLA_MODEL_X,2300.0488
20180225,LOS_ANGELES-TESLA_MODEL_X,2775.3642
20180226,LOS_ANGELES-TESLA_MODEL_X,2582.062
20180227,LOS_ANGELES-TESLA_MODEL_X,2527
20180228,LOS_ANGELES-TESLA_MODEL_X,2394
20180301,LOS_ANGELES-TESLA_MODEL_X,2793
20180302,LOS_ANGELES-TESLA_MODEL_X,2793
20180303,LOS_ANGELES-TESLA_MODEL_X,2793
20180304,LOS_ANGELES-TESLA_MODEL_X,3021.0152
20180305,LOS_ANGELES-TESLA_MODEL_X,4752.09
20180306,LOS_ANGELES-TESLA_MODEL_X,2082.514
20180307,LOS_ANGELES-TESLA_MODEL_X,2042.8135
20180308,LOS_ANGELES-TESLA_MODEL_X,2201.6022
20180309,LOS_ANGELES-TESLA_MODEL_X,2246.0774
20180310,LOS_ANGELES-TESLA_MODEL_X,2171.757
20180311,LOS_ANGELES-TESLA_MODEL_X,2042.8135
20180312,LOS_ANGELES-TESLA_MODEL_X,2261
20180313,LOS_ANGELES-TESLA_MODEL_X,2231.1548
20180314,LOS_ANGELES-TESLA_MODEL_X,2386.3525
20180315,LOS_ANGELES-TESLA_MODEL_X,2394
20180316,LOS_ANGELES-TESLA_MODEL_X,2394
20180317,LOS_ANGELES-TESLA_MODEL_X,2527
20180318,LOS_ANGELES-TESLA_MODEL_X,2527
20180319,LOS_ANGELES-TESLA_MODEL_X,2660
20180320,LOS_ANGELES-TESLA_MODEL_X,2660
20180321,LOS_ANGELES-TESLA_MODEL_X,5042.961
20180322,LOS_ANGELES-TESLA_MODEL_X,2176.5051
20180323,LOS_ANGELES-TESLA_MODEL_X,2331.9023
20180324,LOS_ANGELES-TESLA_MODEL_X,2527
20180325,LOS_ANGELES-TESLA_MODEL_X,2261
20180326,LOS_ANGELES-TESLA_MODEL_X,2519.02
20180327,LOS_ANGELES-TESLA_MODEL_X,4927.5968
20180328,LOS_ANGELES-TESLA_MODEL_X,2784.355
20180329,LOS_ANGELES-TESLA_MODEL_X,2394
20180330,LOS_ANGELES-TESLA_MODEL_X,2527
20180331,LOS_ANGELES-TESLA_MODEL_X,2527
20180401,LOS_ANGELES-TESLA_MODEL_X,2331.9023
20180402,LOS_ANGELES-TESLA_MODEL_X,2527
20180403,LOS_ANGELES-TESLA_MODEL_X,2378.3991
20180404,LOS_ANGELES-TESLA_MODEL_X,2142.2044
20180405,LOS_ANGELES-TESLA_MODEL_X,2201.6022
20180406,LOS_ANGELES-TESLA_MODEL_X,2231.1548
20180407,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180408,LOS_ANGELES-TESLA_MODEL_X,2261
20180409,LOS_ANGELES-TESLA_MODEL_X,2261
20180410,LOS_ANGELES-TESLA_MODEL_X,2238.7624
20180411,LOS_ANGELES-TESLA_MODEL_X,2261
20180412,LOS_ANGELES-TESLA_MODEL_X,2394
20180413,LOS_ANGELES-TESLA_MODEL_X,2261
20180414,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180415,LOS_ANGELES-TESLA_MODEL_X,2394
20180416,LOS_ANGELES-TESLA_MODEL_X,2261
20180417,LOS_ANGELES-TESLA_MODEL_X,2261
20180418,LOS_ANGELES-TESLA_MODEL_X,5204.7023
20180419,LOS_ANGELES-TESLA_MODEL_X,2128
20180420,LOS_ANGELES-TESLA_MODEL_X,2171.757
20180421,LOS_ANGELES-TESLA_MODEL_X,2128
20180422,LOS_ANGELES-TESLA_MODEL_X,2128
20180423,LOS_ANGELES-TESLA_MODEL_X,2128
20180424,LOS_ANGELES-TESLA_MODEL_X,2128
20180425,LOS_ANGELES-TESLA_MODEL_X,2128
20180426,LOS_ANGELES-TESLA_MODEL_X,2261
20180427,LOS_ANGELES-TESLA_MODEL_X,2261
20180428,LOS_ANGELES-TESLA_MODEL_X,5187
20180429,LOS_ANGELES-TESLA_MODEL_X,5187
20180430,LOS_ANGELES-TESLA_MODEL_X,5187
20180501,LOS_ANGELES-TESLA_MODEL_X,5306.434
20180502,LOS_ANGELES-TESLA_MODEL_X,2121.0175
20180503,LOS_ANGELES-TESLA_MODEL_X,5320
20180504,LOS_ANGELES-TESLA_MODEL_X,2128
20180505,LOS_ANGELES-TESLA_MODEL_X,2128
20180506,LOS_ANGELES-TESLA_MODEL_X,5320
20180507,LOS_ANGELES-TESLA_MODEL_X,5110.658
20180508,LOS_ANGELES-TESLA_MODEL_X,5238.87
20180509,LOS_ANGELES-TESLA_MODEL_X,2261
20180510,LOS_ANGELES-TESLA_MODEL_X,5187
20180511,LOS_ANGELES-TESLA_MODEL_X,5054
20180512,LOS_ANGELES-TESLA_MODEL_X,4921
20180513,LOS_ANGELES-TESLA_MODEL_X,4788
20180514,LOS_ANGELES-TESLA_MODEL_X,4921
20180515,LOS_ANGELES-TESLA_MODEL_X,4921
20180516,LOS_ANGELES-TESLA_MODEL_X,4921
20180517,LOS_ANGELES-TESLA_MODEL_X,4921
20180518,LOS_ANGELES-TESLA_MODEL_X,5054
20180519,LOS_ANGELES-TESLA_MODEL_X,4921
20180520,LOS_ANGELES-TESLA_MODEL_X,5054
20180521,LOS_ANGELES-TESLA_MODEL_X,4788
20180522,LOS_ANGELES-TESLA_MODEL_X,4788
20180523,LOS_ANGELES-TESLA_MODEL_X,4921
20180524,LOS_ANGELES-TESLA_MODEL_X,5054
20180525,LOS_ANGELES-TESLA_MODEL_X,5054
20180526,LOS_ANGELES-TESLA_MODEL_X,5054
20180527,LOS_ANGELES-TESLA_MODEL_X,5005.4018
20180528,LOS_ANGELES-TESLA_MODEL_X,4783.079
20180529,LOS_ANGELES-TESLA_MODEL_X,5054
20180530,LOS_ANGELES-TESLA_MODEL_X,5048.015
20180531,LOS_ANGELES-TESLA_MODEL_X,4522
20180601,LOS_ANGELES-TESLA_MODEL_X,4522
20180602,LOS_ANGELES-TESLA_MODEL_X,4522
20180603,LOS_ANGELES-TESLA_MODEL_X,4921
20180604,LOS_ANGELES-TESLA_MODEL_X,4788
20180605,LOS_ANGELES-TESLA_MODEL_X,4788
20180606,LOS_ANGELES-TESLA_MODEL_X,4788
20180607,LOS_ANGELES-TESLA_MODEL_X,4743.0593
20180608,LOS_ANGELES-TESLA_MODEL_X,4897.9378
20180609,LOS_ANGELES-TESLA_MODEL_X,5054
20180610,LOS_ANGELES-TESLA_MODEL_X,4915.3475
20180611,LOS_ANGELES-TESLA_MODEL_X,4788
20180612,LOS_ANGELES-TESLA_MODEL_X,4522
20180613,LOS_ANGELES-TESLA_MODEL_X,4921
20180614,LOS_ANGELES-TESLA_MODEL_X,5054
20180615,LOS_ANGELES-TESLA_MODEL_X,4921
20180616,LOS_ANGELES-TESLA_MODEL_X,4522
20180617,LOS_ANGELES-TESLA_MODEL_X,4522
20180618,LOS_ANGELES-TESLA_MODEL_X,4389
20180619,LOS_ANGELES-TESLA_MODEL_X,4389
20180620,LOS_ANGELES-TESLA_MODEL_X,4380.1821
20180621,LOS_ANGELES-TESLA_MODEL_X,4517.345
20180622,LOS_ANGELES-TESLA_MODEL_X,4788
20180623,LOS_ANGELES-TESLA_MODEL_X,4522
20180624,LOS_ANGELES-TESLA_MODEL_X,4522
20180625,LOS_ANGELES-TESLA_MODEL_X,4788
20180626,LOS_ANGELES-TESLA_MODEL_X,4909.4689
20180627,LOS_ANGELES-TESLA_MODEL_X,4723.096
20180628,LOS_ANGELES-TESLA_MODEL_X,4921
20180629,LOS_ANGELES-TESLA_MODEL_X,4389
20180630,LOS_ANGELES-TESLA_MODEL_X,4788
20180701,LOS_ANGELES-TESLA_MODEL_X,5048.015
20180702,LOS_ANGELES-TESLA_MODEL_X,5048.015
20180703,LOS_ANGELES-TESLA_MODEL_X,4921
20180704,LOS_ANGELES-TESLA_MODEL_X,5054
20180705,LOS_ANGELES-TESLA_MODEL_X,4980.983
20180706,LOS_ANGELES-TESLA_MODEL_X,5266.002
20180707,LOS_ANGELES-TESLA_MODEL_X,5705.7
20180708,LOS_ANGELES-TESLA_MODEL_X,4974.2
20180709,LOS_ANGELES-TESLA_MODEL_X,4681.6
20180710,LOS_ANGELES-TESLA_MODEL_X,4974.2
20180711,LOS_ANGELES-TESLA_MODEL_X,4512.5038
20180712,LOS_ANGELES-TESLA_MODEL_X,4915.3475
20180713,LOS_ANGELES-TESLA_MODEL_X,4522
20180714,LOS_ANGELES-TESLA_MODEL_X,4256
20180715,LOS_ANGELES-TESLA_MODEL_X,4256
20180716,LOS_ANGELES-TESLA_MODEL_X,4522
20180717,LOS_ANGELES-TESLA_MODEL_X,4389
20180718,LOS_ANGELES-TESLA_MODEL_X,4384.6775
20180719,LOS_ANGELES-TESLA_MODEL_X,4256
20180720,LOS_ANGELES-TESLA_MODEL_X,4788
20180721,LOS_ANGELES-TESLA_MODEL_X,4256
20180722,LOS_ANGELES-TESLA_MODEL_X,4389
20180723,LOS_ANGELES-TESLA_MODEL_X,4522
20180724,LOS_ANGELES-TESLA_MODEL_X,4522
20180725,LOS_ANGELES-TESLA_MODEL_X,4655
20180726,LOS_ANGELES-TESLA_MODEL_X,5187
20180727,LOS_ANGELES-TESLA_MODEL_X,4788
20180728,LOS_ANGELES-TESLA_MODEL_X,4921
20180729,LOS_ANGELES-TESLA_MODEL_X,4875.1017
20180730,LOS_ANGELES-TESLA_MODEL_X,5048.015
20180731,LOS_ANGELES-TESLA_MODEL_X,4522
20180801,LOS_ANGELES-TESLA_MODEL_X,5047.35
20180802,LOS_ANGELES-TESLA_MODEL_X,4522
20180803,LOS_ANGELES-TESLA_MODEL_X,4788
20180804,LOS_ANGELES-TESLA_MODEL_X,4921
20180805,LOS_ANGELES-TESLA_MODEL_X,4788
20180806,LOS_ANGELES-TESLA_MODEL_X,5054
20180807,LOS_ANGELES-TESLA_MODEL_X,4921
20180808,LOS_ANGELES-TESLA_MODEL_X,4389
20180809,LOS_ANGELES-TESLA_MODEL_X,4389
20180810,LOS_ANGELES-TESLA_MODEL_X,4522
20180811,LOS_ANGELES-TESLA_MODEL_X,4921
20180812,LOS_ANGELES-TESLA_MODEL_X,5054
20180813,LOS_ANGELES-TESLA_MODEL_X,4389
20180814,LOS_ANGELES-TESLA_MODEL_X,4389
20180815,LOS_ANGELES-TESLA_MODEL_X,4512.5038
20180816,LOS_ANGELES-TESLA_MODEL_X,4921
20180817,LOS_ANGELES-TESLA_MODEL_X,4921
20180818,LOS_ANGELES-TESLA_MODEL_X,4788
20180819,LOS_ANGELES-TESLA_MODEL_X,4788
20180820,LOS_ANGELES-TESLA_MODEL_X,4655
20180821,LOS_ANGELES-TESLA_MODEL_X,4389
20180822,LOS_ANGELES-TESLA_MODEL_X,4788
20180823,LOS_ANGELES-TESLA_MODEL_X,4522
20180824,LOS_ANGELES-TESLA_MODEL_X,4788
20180825,LOS_ANGELES-TESLA_MODEL_X,4921
20180826,LOS_ANGELES-TESLA_MODEL_X,4620.5264
20180827,LOS_ANGELES-TESLA_MODEL_X,4921
20180828,LOS_ANGELES-TESLA_MODEL_X,4788
20180829,LOS_ANGELES-TESLA_MODEL_X,4788
20180830,LOS_ANGELES-TESLA_MODEL_X,4522
20180831,LOS_ANGELES-TESLA_MODEL_X,4788
20180901,LOS_ANGELES-TESLA_MODEL_X,5320
20180902,LOS_ANGELES-TESLA_MODEL_X,4921
20180903,LOS_ANGELES-TESLA_MODEL_X,4788
20180904,LOS_ANGELES-TESLA_MODEL_X,4620.5264
20180905,LOS_ANGELES-TESLA_MODEL_X,4788
20180906,LOS_ANGELES-TESLA_MODEL_X,4788
20180907,LOS_ANGELES-TESLA_MODEL_X,5054
20180908,LOS_ANGELES-TESLA_MODEL_X,5212.004
20180909,LOS_ANGELES-TESLA_MODEL_X,5054
20180910,LOS_ANGELES-TESLA_MODEL_X,4921
20180911,LOS_ANGELES-TESLA_MODEL_X,4921
20180912,LOS_ANGELES-TESLA_MODEL_X,5054
20180913,LOS_ANGELES-TESLA_MODEL_X,5054
20180914,LOS_ANGELES-TESLA_MODEL_X,5187
20180915,LOS_ANGELES-TESLA_MODEL_X,5054
20180916,LOS_ANGELES-TESLA_MODEL_X,5187
20180917,LOS_ANGELES-TESLA_MODEL_X,4788
20180918,LOS_ANGELES-TESLA_MODEL_X,4921
20180919,LOS_ANGELES-TESLA_MODEL_X,4921
20180920,LOS_ANGELES-TESLA_MODEL_X,5320
20180921,LOS_ANGELES-TESLA_MODEL_X,4921
20180922,LOS_ANGELES-TESLA_MODEL_X,4921
20180923,LOS_ANGELES-TESLA_MODEL_X,5054
20180924,LOS_ANGELES-TESLA_MODEL_X,5054
20180925,LOS_ANGELES-TESLA_MODEL_X,4651.0366
20180926,LOS_ANGELES-TESLA_MODEL_X,5005.4018
20180927,LOS_ANGELES-TESLA_MODEL_X,4921
20180928,LOS_ANGELES-TESLA_MODEL_X,2128
20180929,LOS_ANGELES-TESLA_MODEL_X,5266.002
20180930,LOS_ANGELES-TESLA_MODEL_X,4792.5752
20181001,LOS_ANGELES-TESLA_MODEL_X,4921
20181002,LOS_ANGELES-TESLA_MODEL_X,5054
20181003,LOS_ANGELES-TESLA_MODEL_X,4921
20181004,LOS_ANGELES-TESLA_MODEL_X,5054
20181005,LOS_ANGELES-TESLA_MODEL_X,5238.87
20181006,LOS_ANGELES-TESLA_MODEL_X,5035.8056
20181007,LOS_ANGELES-TESLA_MODEL_X,5187
20181008,LOS_ANGELES-TESLA_MODEL_X,5238.87
20181009,LOS_ANGELES-TESLA_MODEL_X,5320
20181010,LOS_ANGELES-TESLA_MODEL_X,5299.784
20181011,LOS_ANGELES-TESLA_MODEL_X,5282.627
20181012,LOS_ANGELES-TESLA_MODEL_X,4907.966
20181013,LOS_ANGELES-TESLA_MODEL_X,4674.0988
20181014,LOS_ANGELES-TESLA_MODEL_X,4670.96
20181015,LOS_ANGELES-TESLA_MODEL_X,5032.853
20181016,LOS_ANGELES-TESLA_MODEL_X,2113.7557
20181017,LOS_ANGELES-TESLA_MODEL_X,2113.7557
20181018,LOS_ANGELES-TESLA_MODEL_X,2113.7557
20181019,LOS_ANGELES-TESLA_MODEL_X,2261
20181020,LOS_ANGELES-TESLA_MODEL_X,2128
20181021,LOS_ANGELES-TESLA_MODEL_X,5266.4808
20181022,LOS_ANGELES-TESLA_MODEL_X,5320
20181023,LOS_ANGELES-TESLA_MODEL_X,2261
20181024,LOS_ANGELES-TESLA_MODEL_X,2394
20181025,LOS_ANGELES-TESLA_MODEL_X,2231.1548
20181026,LOS_ANGELES-TESLA_MODEL_X,2394
20181027,LOS_ANGELES-TESLA_MODEL_X,2261
20181028,LOS_ANGELES-TESLA_MODEL_X,2378.3991
20181029,LOS_ANGELES-TESLA_MODEL_X,5035.8056
20181030,LOS_ANGELES-TESLA_MODEL_X,5187
20181031,LOS_ANGELES-TESLA_MODEL_X,5320
20181101,LOS_ANGELES-TESLA_MODEL_X,5320
20181102,LOS_ANGELES-TESLA_MODEL_X,2261
20181103,LOS_ANGELES-TESLA_MODEL_X,2128
20181104,LOS_ANGELES-TESLA_MODEL_X,2394
20181105,LOS_ANGELES-TESLA_MODEL_X,2394
20181106,LOS_ANGELES-TESLA_MODEL_X,2793
20181107,LOS_ANGELES-TESLA_MODEL_X,2660
20181108,LOS_ANGELES-TESLA_MODEL_X,2128
20181109,LOS_ANGELES-TESLA_MODEL_X,5187
20181110,LOS_ANGELES-TESLA_MODEL_X,5187
20181111,LOS_ANGELES-TESLA_MODEL_X,2128
20181112,LOS_ANGELES-TESLA_MODEL_X,2128
20181113,LOS_ANGELES-TESLA_MODEL_X,2128
20181114,LOS_ANGELES-TESLA_MODEL_X,2128
20181115,LOS_ANGELES-TESLA_MODEL_X,2394
20181116,LOS_ANGELES-TESLA_MODEL_X,2394
20181117,LOS_ANGELES-TESLA_MODEL_X,2207.401
20181118,LOS_ANGELES-TESLA_MODEL_X,2128
20181119,LOS_ANGELES-TESLA_MODEL_X,2128
20181120,LOS_ANGELES-TESLA_MODEL_X,2128
20181121,LOS_ANGELES-TESLA_MODEL_X,2502.7408
20181122,LOS_ANGELES-TESLA_MODEL_X,2617.3336
20181123,LOS_ANGELES-TESLA_MODEL_X,2527
20181124,LOS_ANGELES-TESLA_MODEL_X,2394
20181125,LOS_ANGELES-TESLA_MODEL_X,2527
20181126,LOS_ANGELES-TESLA_MODEL_X,2527
20181127,LOS_ANGELES-TESLA_MODEL_X,2231.1548
20181128,LOS_ANGELES-TESLA_MODEL_X,3074.3615
20181129,LOS_ANGELES-TESLA_MODEL_X,2793
20181130,LOS_ANGELES-TESLA_MODEL_X,2394
20181201,LOS_ANGELES-TESLA_MODEL_X,2527
20181202,LOS_ANGELES-TESLA_MODEL_X,2793
20181203,LOS_ANGELES-TESLA_MODEL_X,2793
20181204,LOS_ANGELES-TESLA_MODEL_X,2362.7982
20181205,LOS_ANGELES-TESLA_MODEL_X,2300.7005
20181206,LOS_ANGELES-TESLA_MODEL_X,2261
20181207,LOS_ANGELES-TESLA_MODEL_X,2128
20181208,LOS_ANGELES-TESLA_MODEL_X,2394
20181209,LOS_ANGELES-TESLA_MODEL_X,2527
20181210,LOS_ANGELES-TESLA_MODEL_X,2394
20181211,LOS_ANGELES-TESLA_MODEL_X,2394
20181212,LOS_ANGELES-TESLA_MODEL_X,2527
20181213,LOS_ANGELES-TESLA_MODEL_X,2527
20181214,LOS_ANGELES-TESLA_MODEL_X,2722.8026
20181215,LOS_ANGELES-TESLA_MODEL_X,2510.7208
20181216,LOS_ANGELES-TESLA_MODEL_X,2176.5051
20181217,LOS_ANGELES-TESLA_MODEL_X,2494.4416
20181218,LOS_ANGELES-TESLA_MODEL_X,2494.4416
20181219,LOS_ANGELES-TESLA_MODEL_X,2784.355
20181220,LOS_ANGELES-TESLA_MODEL_X,2926
20181221,LOS_ANGELES-TESLA_MODEL_X,2853.1027
20181222,LOS_ANGELES-TESLA_MODEL_X,3059
20181223,LOS_ANGELES-TESLA_MODEL_X,2394
20181224,LOS_ANGELES-TESLA_MODEL_X,2246.0774
20181225,LOS_ANGELES-TESLA_MODEL_X,2128
20181226,LOS_ANGELES-TESLA_MODEL_X,2128
20181227,LOS_ANGELES-TESLA_MODEL_X,2394
20181228,LOS_ANGELES-TESLA_MODEL_X,2527
20181229,LOS_ANGELES-TESLA_MODEL_X,2527
20181230,LOS_ANGELES-TESLA_MODEL_X,2926
20181231,LOS_ANGELES-TESLA_MODEL_X,2793
20190101,LOS_ANGELES-TESLA_MODEL_X,3394.16
20190102,LOS_ANGELES-TESLA_MODEL_X,2848.78286
20190103,LOS_ANGELES-TESLA_MODEL_X,2932.65
20190104,LOS_ANGELES-TESLA_MODEL_X,2561.58
20190105,LOS_ANGELES-TESLA_MODEL_X,2979.2
20190106,LOS_ANGELES-TESLA_MODEL_X,3032.4
20190107,LOS_ANGELES-TESLA_MODEL_X,2956.59
20190108,LOS_ANGELES-TESLA_MODEL_X,3128.16
20190109,LOS_ANGELES-TESLA_MODEL_X,3072.3
20190110,LOS_ANGELES-TESLA_MODEL_X,3044.37
20190111,LOS_ANGELES-TESLA_MODEL_X,3511.2
20190112,LOS_ANGELES-TESLA_MODEL_X,3211.95
20190113,LOS_ANGELES-TESLA_MODEL_X,3214.199296
20190114,LOS_ANGELES-TESLA_MODEL_X,3657.5
20190115,LOS_ANGELES-TESLA_MODEL_X,2419.27
20190116,LOS_ANGELES-TESLA_MODEL_X,2396.66
20190117,LOS_ANGELES-TESLA_MODEL_X,2388.9061
20190118,LOS_ANGELES-TESLA_MODEL_X,2681.28
20190119,LOS_ANGELES-TESLA_MODEL_X,2633.4
20190120,LOS_ANGELES-TESLA_MODEL_X,2609.46
20190121,LOS_ANGELES-TESLA_MODEL_X,2628.08
20190122,LOS_ANGELES-TESLA_MODEL_X,3295.74
20190123,LOS_ANGELES-TESLA_MODEL_X,2979.2
20190124,LOS_ANGELES-TESLA_MODEL_X,2776.378458
20190125,LOS_ANGELES-TESLA_MODEL_X,3013.78
20190126,LOS_ANGELES-TESLA_MODEL_X,3481.94
20190127,LOS_ANGELES-TESLA_MODEL_X,3426.08
20190128,LOS_ANGELES-TESLA_MODEL_X,3224.006051
20190129,LOS_ANGELES-TESLA_MODEL_X,3295.74
20190130,LOS_ANGELES-TESLA_MODEL_X,3072.3
20190131,LOS_ANGELES-TESLA_MODEL_X,3126.286695
20190201,LOS_ANGELES-TESLA_MODEL_X,2298.089444
20190202,LOS_ANGELES-TESLA_MODEL_X,5993.8046
20190203,LOS_ANGELES-TESLA_MODEL_X,5636.79536
20190204,LOS_ANGELES-TESLA_MODEL_X,2614.2746
20190205,LOS_ANGELES-TESLA_MODEL_X,2464.49
20190206,LOS_ANGELES-TESLA_MODEL_X,2532.32
20190207,LOS_ANGELES-TESLA_MODEL_X,2411.44295
20190208,LOS_ANGELES-TESLA_MODEL_X,2276.22185
20190209,LOS_ANGELES-TESLA_MODEL_X,2872.8
20190210,LOS_ANGELES-TESLA_MODEL_X,2653.35
20190211,LOS_ANGELES-TESLA_MODEL_X,2713.330872
20190212,LOS_ANGELES-TESLA_MODEL_X,2952.6
20190213,LOS_ANGELES-TESLA_MODEL_X,2832.336612
20190214,LOS_ANGELES-TESLA_MODEL_X,2876.79
20190215,LOS_ANGELES-TESLA_MODEL_X,3089.59
20190216,LOS_ANGELES-TESLA_MODEL_X,3283.208208
20190217,LOS_ANGELES-TESLA_MODEL_X,3335.64
20190218,LOS_ANGELES-TESLA_MODEL_X,3189.34
20190219,LOS_ANGELES-TESLA_MODEL_X,2766.4
20190220,LOS_ANGELES-TESLA_MODEL_X,3044.37
20190221,LOS_ANGELES-TESLA_MODEL_X,2736.685672
20190222,LOS_ANGELES-TESLA_MODEL_X,5105.0587
20190223,LOS_ANGELES-TESLA_MODEL_X,3887.692676
20190224,LOS_ANGELES-TESLA_MODEL_X,2415.05124
20190225,LOS_ANGELES-TESLA_MODEL_X,3136.161546
20190226,LOS_ANGELES-TESLA_MODEL_X,3098.4744
20190227,LOS_ANGELES-TESLA_MODEL_X,2880.78
20190228,LOS_ANGELES-TESLA_MODEL_X,2394
20190301,LOS_ANGELES-TESLA_MODEL_X,3072.3
20190302,LOS_ANGELES-TESLA_MODEL_X,3072.3
20190303,LOS_ANGELES-TESLA_MODEL_X,3267.81
20190304,LOS_ANGELES-TESLA_MODEL_X,3051.225352
20190305,LOS_ANGELES-TESLA_MODEL_X,5132.2572
20190306,LOS_ANGELES-TESLA_MODEL_X,2478.19166
20190307,LOS_ANGELES-TESLA_MODEL_X,2165.38231
20190308,LOS_ANGELES-TESLA_MODEL_X,2509.826508
20190309,LOS_ANGELES-TESLA_MODEL_X,2246.0774
20190310,LOS_ANGELES-TESLA_MODEL_X,2410.65027
20190311,LOS_ANGELES-TESLA_MODEL_X,2247.09485
20190312,LOS_ANGELES-TESLA_MODEL_X,2464.49
20190313,LOS_ANGELES-TESLA_MODEL_X,2431.958732
20190314,LOS_ANGELES-TESLA_MODEL_X,2529.53365
20190315,LOS_ANGELES-TESLA_MODEL_X,2513.7
20190316,LOS_ANGELES-TESLA_MODEL_X,2441.88
20190317,LOS_ANGELES-TESLA_MODEL_X,2577.54
20190318,LOS_ANGELES-TESLA_MODEL_X,2754.43
20190319,LOS_ANGELES-TESLA_MODEL_X,2979.2
20190320,LOS_ANGELES-TESLA_MODEL_X,3085.6
20190321,LOS_ANGELES-TESLA_MODEL_X,5547.2571
20190322,LOS_ANGELES-TESLA_MODEL_X,2611.80612
20190323,LOS_ANGELES-TESLA_MODEL_X,2705.006668
20190324,LOS_ANGELES-TESLA_MODEL_X,2956.59
20190325,LOS_ANGELES-TESLA_MODEL_X,2464.49
20190326,LOS_ANGELES-TESLA_MODEL_X,3022.824
20190327,LOS_ANGELES-TESLA_MODEL_X,5371.080512
20190328,LOS_ANGELES-TESLA_MODEL_X,3202.00825
20190329,LOS_ANGELES-TESLA_MODEL_X,2489.76
20190330,LOS_ANGELES-TESLA_MODEL_X,2602.81
20190331,LOS_ANGELES-TESLA_MODEL_X,2906.05
20190401,LOS_ANGELES-TESLA_MODEL_X,2448.497415
20190402,LOS_ANGELES-TESLA_MODEL_X,2577.54
20190403,LOS_ANGELES-TESLA_MODEL_X,2854.07892
20190404,LOS_ANGELES-TESLA_MODEL_X,2335.002796
20190405,LOS_ANGELES-TESLA_MODEL_X,2641.92264
20190406,LOS_ANGELES-TESLA_MODEL_X,2253.466348
20190407,LOS_ANGELES-TESLA_MODEL_X,2298.7587
20190408,LOS_ANGELES-TESLA_MODEL_X,2509.71
